,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,Interpreter (ms),,AOT (-O3) (ms),
,,compiler,w/o binaryen ,w/ binaryen (-O4),w/o binareyn,w/ binaryen (-O4)
,atax_256,LLVM (-O3),767.14,844.75,34.26,34.25
,,MLIR,1339.6,935.7,33.84,34.3
,,speedup,0.5726634816,0.9028000427,1.012411348,0.9985422741
,bicg_256,LLVM (-O3),533.62,580.67,30.04,34.79
,,MLIR,1112.49,697.39,31.37,31.59
,,speedup,0.4796627385,0.8326331034,0.9576028052,1.101297879
,doitgen_32,LLVM (-O3),6654.3,7276.5,251.28,247.28
,,MLIR,13136.78,7864.5,253.61,
,,speedup,0.5065396543,0.9252336449,0.9908126651,#DIV/0!
,gemm_128,LLVM (-O3),15464.42,15486.68,438.31,482.32
,,MLIR,33458.63,17116.83,526.86,504.55
,,speedup,0.4621952543,0.9047633236,0.8319287856,0.9559409375
,gemver_256,LLVM (-O3),1379.24,1441.31,69.74,84.64
,,MLIR,2590.88,1587.82,85.31,84.62
,,speedup,0.5323442228,0.9077288358,0.8174891572,1.000236351
,gesummv_256,LLVM (-O3),641.37,629.71,39.1,53.4
,,MLIR,1349.82,734.97,FIXME: malloc failed!,FIXME: malloc failed!
,,speedup,0.4751522425,0.8567832701,#VALUE!,#VALUE!
,mvt_256,LLVM (-O3),901.8,901.72,33.63,44.3
,,MLIR,1438.94,899.73,44.28,44.28
,,speedup,0.6267113292,1.002211775,0.7594850949,1.000451671
,syr2k_128,LLVM (-O3),8756.59,9518.41,430.67,507.89
,,MLIR,24184.74,11018.05,457.99,468.7
,,speedup,0.3620708761,0.8638924311,0.9403480425,1.083614252
,three_mm_64,LLVM (-O3),5044.02,5092.94,168.47,176.53
,,MLIR,12063.54,6443.22,179.23,179.22
,,speedup,0.418121049,0.7904339756,0.9399654076,0.9849905145
,trmm_128,LLVM (-O3),7760.13,8119.13,256.49,308.12
,,MLIR,16117.25,8643.81,343.85,343.83
,,speedup,0.481479781,0.9392999152,0.7459357278,0.8961405346
,two_mm_128,LLVM (-O3),30342.56,30212.17,877.5,944.72
,,MLIR,65517.91,33635.63,964.63,943.85
,,speedup,0.463118558,0.8982192395,0.9096752123,1.000921757
,,,,,,
,,,,,,
,,,,,,
,symm_128,LLVM (-O3),this contains alloca. not sure yet how to handle this.,,,
,,MLIR,,,,
,,,,,,g
